case:concept:name,concept:name
Case0,START
Case0,asubmitted
Case0,apartlysubmitted
Case0,apreaccepted
Case0,aaccepted
Case0,oselected
Case0,afinalized
Case0,ocreated
Case0,osent
Case0,wcompleterenaanvraag
Case0,wnabellenoffertes
Case0,wnabellenoffertes
Case0,osentback
Case0,wnabellenoffertes
Case0,aregistered
Case0,aapproved
Case0,oaccepted
Case0,aactivated
Case0,wvaliderenaanvraag
Case0,END
Case1,START
Case1,asubmitted
Case1,apartlysubmitted
Case1,apreaccepted
Case1,wcompleterenaanvraag
Case1,aaccepted
Case1,afinalized
Case1,oselected
Case1,ocreated
Case1,osent
Case1,wcompleterenaanvraag
Case1,wnabellenoffertes
Case1,oselected
Case1,ocancelled
Case1,ocreated
Case1,osent
Case1,wnabellenoffertes
Case1,wnabellenoffertes
Case1,osentback
Case1,wnabellenoffertes
Case1,wvaliderenaanvraag
Case1,wvaliderenaanvraag
Case1,oaccepted
Case1,aapproved
Case1,aregistered
Case1,aactivated
Case1,wvaliderenaanvraag
Case1,END
Case10,START
Case10,asubmitted
Case10,apartlysubmitted
Case10,apreaccepted
Case10,aaccepted
Case10,afinalized
Case10,oselected
Case10,ocreated
Case10,osent
Case10,wcompleterenaanvraag
Case10,wnabellenoffertes
Case10,oselected
Case10,ocancelled
Case10,ocreated
Case10,osent
Case10,wnabellenoffertes
Case10,wnabellenoffertes
Case10,osentback
Case10,wnabellenoffertes
Case10,wvaliderenaanvraag
Case10,wnabellenincompletedossiers
Case10,wnabellenincompletedossiers
Case10,wvaliderenaanvraag
Case10,wnabellenincompletedossiers
Case10,wnabellenincompletedossiers
Case10,oaccepted
Case10,aapproved
Case10,aregistered
Case10,aactivated
Case10,wvaliderenaanvraag
Case10,END
Case100,START
Case100,asubmitted
Case100,apartlysubmitted
Case100,apreaccepted
Case100,wafhandelenleads
Case100,aaccepted
Case100,afinalized
Case100,oselected
Case100,ocreated
Case100,osent
Case100,wcompleterenaanvraag
Case100,wnabellenoffertes
Case100,wnabellenoffertes
Case100,ocancelled
Case100,acancelled
Case100,END
Case1000,START
Case1000,asubmitted
Case1000,apartlysubmitted
Case1000,apreaccepted
Case1000,wcompleterenaanvraag
Case1000,aaccepted
Case1000,oselected
Case1000,afinalized
Case1000,ocreated
Case1000,osent
Case1000,wcompleterenaanvraag
Case1000,wnabellenoffertes
Case1000,wnabellenoffertes
Case1000,osentback
Case1000,wnabellenoffertes
Case1000,wvaliderenaanvraag
Case1000,wvaliderenaanvraag
Case1000,adeclined
Case1000,odeclined
Case1000,wvaliderenaanvraag
Case1000,END
Case10000,START
Case10000,asubmitted
Case10000,apartlysubmitted
Case10000,adeclined
Case10000,wafhandelenleads
Case10000,END
Case10001,START
Case10001,asubmitted
Case10001,apartlysubmitted
Case10001,apreaccepted
Case10001,wcompleterenaanvraag
Case10001,wcompleterenaanvraag
Case10001,aaccepted
Case10001,afinalized
Case10001,oselected
Case10001,ocreated
Case10001,osent
Case10001,wcompleterenaanvraag
Case10001,wnabellenoffertes
Case10001,wnabellenoffertes
Case10001,acancelled
Case10001,ocancelled
Case10001,wnabellenoffertes
Case10001,END
Case10002,START
Case10002,asubmitted
Case10002,apartlysubmitted
Case10002,apreaccepted
Case10002,wafhandelenleads
Case10002,wcompleterenaanvraag
Case10002,wcompleterenaanvraag
Case10002,aaccepted
Case10002,oselected
Case10002,afinalized
Case10002,ocreated
Case10002,osent
Case10002,wcompleterenaanvraag
Case10002,wnabellenoffertes
Case10002,osentback
Case10002,wnabellenoffertes
Case10002,wvaliderenaanvraag
Case10002,wnabellenincompletedossiers
Case10002,wnabellenincompletedossiers
Case10002,adeclined
Case10002,odeclined
Case10002,wvaliderenaanvraag
Case10002,END
Case10003,START
Case10003,asubmitted
Case10003,apartlysubmitted
Case10003,adeclined
Case10003,wafhandelenleads
Case10003,END
Case10004,START
Case10004,asubmitted
Case10004,apartlysubmitted
Case10004,wafhandelenleads
Case10004,adeclined
Case10004,wafhandelenleads
Case10004,END
Case10005,START
Case10005,asubmitted
Case10005,apartlysubmitted
Case10005,apreaccepted
Case10005,wafhandelenleads
Case10005,wcompleterenaanvraag
Case10005,aaccepted
Case10005,oselected
Case10005,afinalized
Case10005,ocreated
Case10005,osent
Case10005,wcompleterenaanvraag
Case10005,wnabellenoffertes
Case10005,wnabellenoffertes
Case10005,oselected
Case10005,ocancelled
Case10005,ocreated
Case10005,osent
Case10005,wnabellenoffertes
Case10005,wnabellenoffertes
Case10005,osentback
Case10005,wnabellenoffertes
Case10005,wvaliderenaanvraag
Case10005,wnabellenincompletedossiers
Case10005,wnabellenincompletedossiers
Case10005,wvaliderenaanvraag
Case10005,wnabellenincompletedossiers
Case10005,wnabellenincompletedossiers
Case10005,wvaliderenaanvraag
Case10005,ocancelled
Case10005,oselected
Case10005,ocreated
Case10005,osent
Case10005,wvaliderenaanvraag
Case10005,wnabellenincompletedossiers
Case10005,wnabellenincompletedossiers
Case10005,osentback
Case10005,wnabellenincompletedossiers
Case10005,oaccepted
Case10005,aactivated
Case10005,aapproved
Case10005,aregistered
Case10005,wvaliderenaanvraag
Case10005,END
Case10006,START
Case10006,asubmitted
Case10006,apartlysubmitted
Case10006,apreaccepted
Case10006,wafhandelenleads
Case10006,wcompleterenaanvraag
Case10006,aaccepted
Case10006,oselected
Case10006,afinalized
Case10006,ocreated
Case10006,osent
Case10006,wcompleterenaanvraag
Case10006,oselected
Case10006,ocancelled
Case10006,ocreated
Case10006,osent
Case10006,wnabellenoffertes
Case10006,wnabellenoffertes
Case10006,osentback
Case10006,wnabellenoffertes
Case10006,wvaliderenaanvraag
Case10006,wvaliderenaanvraag
Case10006,wnabellenincompletedossiers
Case10006,wnabellenincompletedossiers
Case10006,wvaliderenaanvraag
Case10006,wnabellenincompletedossiers
Case10006,wnabellenincompletedossiers
Case10006,aapproved
Case10006,aregistered
Case10006,oaccepted
Case10006,aactivated
Case10006,wvaliderenaanvraag
Case10006,END
Case10007,START
Case10007,asubmitted
Case10007,apartlysubmitted
Case10007,adeclined
Case10007,wafhandelenleads
Case10007,END
Case10008,START
Case10008,asubmitted
Case10008,apartlysubmitted
Case10008,wbeoordelenfraude
Case10008,wbeoordelenfraude
Case10008,wafhandelenleads
Case10008,wbeoordelenfraude
Case10008,adeclined
Case10008,wafhandelenleads
Case10008,END
Case10009,START
Case10009,asubmitted
Case10009,apartlysubmitted
Case10009,apreaccepted
Case10009,wafhandelenleads
Case10009,adeclined
Case10009,wcompleterenaanvraag
Case10009,END
Case1001,START
Case1001,asubmitted
Case1001,apartlysubmitted
Case1001,adeclined
Case1001,END
Case10010,START
Case10010,asubmitted
Case10010,apartlysubmitted
Case10010,adeclined
Case10010,END
Case10011,START
Case10011,asubmitted
Case10011,apartlysubmitted
Case10011,apreaccepted
Case10011,wcompleterenaanvraag
Case10011,aaccepted
Case10011,afinalized
Case10011,oselected
Case10011,ocreated
Case10011,osent
Case10011,wcompleterenaanvraag
Case10011,wnabellenoffertes
Case10011,wnabellenoffertes
Case10011,osentback
Case10011,wnabellenoffertes
Case10011,wvaliderenaanvraag
Case10011,wvaliderenaanvraag
Case10011,aactivated
Case10011,aapproved
Case10011,aregistered
Case10011,oaccepted
Case10011,wvaliderenaanvraag
Case10011,END
Case10012,START
Case10012,asubmitted
Case10012,apartlysubmitted
Case10012,adeclined
Case10012,END
Case10013,START
Case10013,asubmitted
Case10013,apartlysubmitted
Case10013,apreaccepted
Case10013,aaccepted
Case10013,oselected
Case10013,afinalized
Case10013,ocreated
Case10013,osent
Case10013,wcompleterenaanvraag
Case10013,ocancelled
Case10013,oselected
Case10013,ocreated
Case10013,osent
Case10013,wnabellenoffertes
Case10013,wnabellenoffertes
Case10013,osentback
Case10013,wnabellenoffertes
Case10013,adeclined
Case10013,odeclined
Case10013,wvaliderenaanvraag
Case10013,END
Case10014,START
Case10014,asubmitted
Case10014,apartlysubmitted
Case10014,apreaccepted
Case10014,wcompleterenaanvraag
Case10014,aaccepted
Case10014,afinalized
Case10014,oselected
Case10014,ocreated
Case10014,osent
Case10014,wcompleterenaanvraag
Case10014,wnabellenoffertes
Case10014,wnabellenoffertes
Case10014,ocancelled
Case10014,acancelled
Case10014,wnabellenoffertes
Case10014,END
Case10015,START
Case10015,asubmitted
Case10015,apartlysubmitted
Case10015,apreaccepted
