case:concept:name,concept:name
Case0,START
Case0,acta
Case0,actb
Case0,actc
Case0,actd
Case0,acte
Case0,actf
Case0,actg
Case0,acth
Case0,acti
Case0,actc
Case0,actb
Case0,actb
Case0,actc
Case0,actb
Case0,actc
Case0,actc
Case0,actb
Case0,actb
Case0,actc
Case0,actc
Case0,actb
Case0,actj
Case0,END
Case1,START
Case1,acta
Case1,acte
Case1,actc
Case1,actd
Case1,actb
Case1,actf
Case1,actg
Case1,acth
Case1,acti
Case1,actc
Case1,actc
Case1,actj
Case1,END
Case10,START
Case10,acta
Case10,acte
Case10,actf
Case10,actd
Case10,actc
Case10,actb
Case10,acth
Case10,acti
Case10,actb
Case10,actc
Case10,acti
Case10,actg
Case10,actc
Case10,actb
Case10,actj
Case10,actk
Case10,END
Case100,START
Case100,actg
Case100,acta
Case100,acte
Case100,actf
Case100,actd
Case100,actc
Case100,actb
Case100,acth
Case100,acti
Case100,acti
Case100,actj
Case100,actk
Case100,END
Case1000,START
Case1000,acta
Case1000,acte
Case1000,actf
Case1000,actc
Case1000,actb
Case1000,END
Case1001,START
Case1001,acta
Case1001,acte
Case1001,actf
Case1001,actb
Case1001,actc
Case1001,actd
Case1001,actg
Case1001,acth
Case1001,acti
Case1001,actc
Case1001,actj
Case1001,actk
Case1001,END
Case1002,START
Case1002,acta
Case1002,acte
Case1002,actf
Case1002,actd
Case1002,actb
Case1002,actc
Case1002,actg
Case1002,acth
Case1002,acti
Case1002,acti
Case1002,actc
Case1002,actb
Case1002,actb
Case1002,actc
Case1002,actb
Case1002,actc
Case1002,actb
Case1002,actc
Case1002,actc
Case1002,actb
Case1002,actc
Case1002,actc
Case1002,actb
Case1002,actj
Case1002,actk
Case1002,END
Case1003,START
Case1003,acte
Case1003,acta
Case1003,actb
Case1003,actc
Case1003,actd
Case1003,actf
Case1003,acth
Case1003,END
Case1004,START
Case1004,acta
Case1004,acte
Case1004,actf
Case1004,actc
Case1004,actb
Case1004,actd
Case1004,acth
Case1004,acti
Case1004,actb
Case1004,actc
Case1004,actb
Case1004,actc
Case1004,actc
Case1004,actb
Case1004,actb
Case1004,actc
Case1004,actb
Case1004,actc
Case1004,actc
Case1004,actn
Case1004,actk
Case1004,END
Case1005,START
Case1005,acta
Case1005,acte
Case1005,actf
Case1005,actg
Case1005,actd
Case1005,actb
Case1005,actc
Case1005,acth
Case1005,acti
Case1005,actb
Case1005,actc
Case1005,actb
Case1005,actc
Case1005,actc
Case1005,actb
Case1005,actc
Case1005,actb
Case1005,actb
Case1005,actc
Case1005,actb
Case1005,actc
Case1005,actc
Case1005,actb
Case1005,actj
Case1005,END
Case1006,START
Case1006,acta
Case1006,acte
Case1006,actf
Case1006,actb
Case1006,actc
Case1006,actd
Case1006,actg
Case1006,acth
Case1006,END
Case1007,START
Case1007,acta
Case1007,actg
Case1007,acte
Case1007,actb
Case1007,actc
Case1007,actd
Case1007,actf
Case1007,acth
Case1007,acti
Case1007,actc
Case1007,actb
Case1007,actb
Case1007,actc
Case1007,acti
Case1007,actj
Case1007,END
Case1008,START
Case1008,acta
Case1008,acte
Case1008,actf
Case1008,actg
Case1008,acth
Case1008,actb
Case1008,actc
Case1008,actd
Case1008,END
Case1009,START
Case1009,acta
Case1009,acte
Case1009,actf
Case1009,actc
Case1009,actb
Case1009,acti
Case1009,actc
Case1009,actb
Case1009,acti
Case1009,actb
Case1009,actc
Case1009,actc
Case1009,actj
Case1009,actk
Case1009,END
Case101,START
Case101,acta
Case101,acte
Case101,actf
Case101,actg
Case101,acth
Case101,actd
Case101,actb
Case101,actc
Case101,END
Case1010,START
Case1010,acta
Case1010,acte
Case1010,actf
Case1010,actb
Case1010,actd
Case1010,actc
Case1010,actg
Case1010,acth
Case1010,END
Case1011,START
Case1011,acta
Case1011,acte
Case1011,actf
Case1011,actc
Case1011,actb
Case1011,actl
Case1011,actc
Case1011,actb
Case1011,actd
Case1011,actb
Case1011,actd
Case1011,actc
Case1011,actd
Case1011,actc
Case1011,actb
Case1011,actb
Case1011,actc
Case1011,actd
Case1011,actc
Case1011,actb
Case1011,actd
Case1011,actb
Case1011,actc
Case1011,actd
Case1011,actb
Case1011,actc
Case1011,actd
Case1011,actb
Case1011,actc
Case1011,actd
Case1011,actd
Case1011,actc
Case1011,actb
Case1011,acti
Case1011,actb
Case1011,actc
Case1011,actd
Case1011,actb
Case1011,actb
Case1011,actc
Case1011,actd
Case1011,actc
Case1011,actb
Case1011,actc
Case1011,acti
Case1011,actc
Case1011,actb
Case1011,actc
Case1011,actb
Case1011,actc
Case1011,actb
Case1011,actb
Case1011,actc
Case1011,actb
Case1011,actc
Case1011,actc
Case1011,actb
Case1011,actb
Case1011,actc
Case1011,actj
Case1011,actk
Case1011,END
Case1012,START
Case1012,acta
Case1012,acte
Case1012,actf
Case1012,actd
Case1012,actc
Case1012,actb
Case1012,actg
Case1012,acth
Case1012,acti
Case1012,actj
Case1012,actk
Case1012,END
Case1013,START
Case1013,acta
Case1013,acte
Case1013,actf
Case1013,actb
Case1013,actc
Case1013,acti
Case1013,actb
Case1013,actc
Case1013,actj
Case1013,END
Case1014,START
Case1014,acta
Case1014,acte
Case1014,actf
Case1014,actb
Case1014,actd
Case1014,actc
Case1014,actg
Case1014,acth
Case1014,acti
Case1014,actc
Case1014,actj
Case1014,actk
Case1014,END
Case1015,START
Case1015,acta
Case1015,acte
Case1015,actf
Case1015,actc
Case1015,actb
Case1015,actd
Case1015,acth
Case1015,acti
Case1015,END
Case1016,START
Case1016,acta
Case1016,acte
Case1016,actf
Case1016,END
Case1017,START
Case1017,acta
Case1017,acte
Case1017,actf
Case1017,actd
Case1017,actc
Case1017,actb
Case1017,acth
Case1017,actg
Case1017,acti
Case1017,actc
Case1017,actb
Case1017,actb
Case1017,actc
Case1017,actb
Case1017,actc
Case1017,actj
Case1017,actk
Case1017,END
Case1018,START
Case1018,acta
Case1018,actc
Case1018,actd
Case1018,actb
Case1018,acte
Case1018,actf
Case1018,actg
Case1018,acth
Case1018,acti
Case1018,acti
Case1018,actj
Case1018,actk
Case1018,END
Case1019,START
Case1019,acta
Case1019,acte
Case1019,actf
Case1019,actb
Case1019,actc
Case1019,acti
Case1019,acti
Case1019,actc
Case1019,actb
Case1019,actc
Case1019,actb
Case1019,actc
Case1019,actj
Case1019,END
Case102,START
Case102,actc
Case102,actb
Case102,acta
Case102,acte
Case102,actb
Case102,actc
Case102,actf
Case102,actg
Case102,acth
Case102,END
Case1020,START
Case1020,acta
Case1020,acte
Case1020,actf
Case1020,END
Case1021,START
Case1021,acta
Case1021,acte
Case1021,actc
Case1021,actb
Case1021,actf
Case1021,END
Case1022,START
Case1022,actf
Case1022,acta
Case1022,acte
Case1022,actg
Case1022,acth
Case1022,actc
Case1022,actb
Case1022,actd
Case1022,acti
Case1022,actc
Case1022,actb
Case1022,acti
Case1022,actb
Case1022,actc
Case1022,actb
Case1022,actc
Case1022,actj
Case1022,END
Case1023,START
Case1023,acta
Case1023,acte
Case1023,actf
Case1023,actg
Case1023,actc
Case1023,actb
Case1023,actd
Case1023,acth
Case1023,acti
Case1023,actb
Case1023,actc
Case1023,actc
Case1023,actb
Case1023,actb
Case1023,actc
Case1023,actc
Case1023,actb
Case1023,actb
Case1023,actc
Case1023,acto
Case1023,END
Case1024,START
Case1024,acta
Case1024,acte
Case1024,actf
Case1024,actb
Case1024,acti
Case1024,actj
Case1024,END
Case1025,START
Case1025,acta
Case1025,acte
Case1025,actc
Case1025,actb
Case1025,actd
Case1025,actf
Case1025,actg
Case1025,acth
Case1025,END
Case1026,START
Case1026,acta
Case1026,acte
Case1026,actf
Case1026,actg
Case1026,acth
Case1026,actb
Case1026,actd
Case1026,actc
Case1026,acti
Case1026,actb
Case1026,actc
Case1026,actb
Case1026,actc
Case1026,acti
Case1026,actb
Case1026,actc
Case1026,actb
Case1026,actc
Case1026,acti
Case1026,acti
Case1026,actj
Case1026,END
Case1027,START
Case1027,actf
Case1027,acta
Case1027,acte
Case1027,actg
Case1027,acth
Case1027,actc
Case1027,actd
Case1027,actb
Case1027,actl
Case1027,actd
Case1027,actb
Case1027,actc
Case1027,actd
Case1027,actb
Case1027,actc
Case1027,actd
Case1027,actb
Case1027,actc
Case1027,actd
Case1027,acti
Case1027,actc
Case1027,actb
Case1027,actc
Case1027,actb
Case1027,actj
Case1027,actk
Case1027,END
Case1028,START
Case1028,acta
Case1028,acte
Case1028,actf
Case1028,actb
Case1028,actc
Case1028,actd
Case1028,actg
Case1028,acth
Case1028,acti
Case1028,actc
Case1028,actb
Case1028,actb
Case1028,actc
Case1028,actj
Case1028,END
Case1029,START
Case1029,acta
Case1029,actb
Case1029,actc
Case1029,actd
Case1029,acte
Case1029,actf
Case1029,actg
Case1029,acth
Case1029,acti
Case1029,actc
Case1029,actb
Case1029,actc
Case1029,acti
Case1029,actb
Case1029,actc
Case1029,actc
Case1029,actb
Case1029,actj
Case1029,END
Case103,START
Case103,acta
Case103,actd
Case103,actc
Case103,actb
Case103,acte
Case103,actf
Case103,actd
Case103,actd
Case103,actg
Case103,acth
Case103,END
Case1030,START
