CaseID,event
Case1,plan
Case1,initialize
Case1,save
Case1,save
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
