CaseID,event
Case1,plan
Case1,initialize
Case1,save
Case1,save
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case2,initialize
Case2,plan
Case2,save
Case2,save
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
Case2,beginpreparations
Case2,prepareexternal
Case2,abortexternal
Case2,finishpreparations
