CaseID,event
Case3,CreatePurchaseOrderItem
Case3,Vendorcreatesinvoice
Case3,RecordGoodsReceipt
Case3,RecordInvoiceReceipt
Case3,ClearInvoice
Case1,ChangeApprovalforPurchaseOrder
Case1,CreatePurchaseOrderItem
Case1,RecordGoodsReceipt
Case1,Vendorcreatesinvoice
Case1,RecordInvoiceReceipt
Case1,ClearInvoice
Case4,CreatePurchaseRequisitionItem
Case4,CreatePurchaseOrderItem
Case4,Vendorcreatesinvoice
Case4,RecordGoodsReceipt
Case4,RecordInvoiceReceipt
Case4,ClearInvoice
Case8,Vendorcreatesinvoice
Case8,CreatePurchaseOrderItem
Case8,RecordGoodsReceipt
Case8,RecordInvoiceReceipt
Case8,ClearInvoice
Case2,ChangeCurrency
Case2,CreatePurchaseOrderItem
Case2,Vendorcreatesinvoice
Case2,RecordGoodsReceipt
Case2,RecordInvoiceReceipt
Case2,ClearInvoice
Case6,SRMCreated
Case6,SRMComplete
Case6,SRMAwaitingApproval
Case6,SRMDocumentCompleted
Case6,SRMInTransfertoExecutionSyst
Case6,SRMOrdered
Case6,SRMChangewasTransmitted
Case6,CreatePurchaseOrderItem
Case6,Vendorcreatesinvoice
Case6,RecordGoodsReceipt
Case6,RecordInvoiceReceipt
Case6,ClearInvoice
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
Case5,ReleasePurchaseOrder
Case5,ChangeApprovalforPurchaseOrder
